Serial_ID,Question,Lesson,Grade,Difficulty,A,B,C,D,Correct Answer
1,تشرق الشمس في الصباح الباكر. ما إعراب كلمة (الصباح)؟,الظرف,7,متوسط,ظرف زمان منصوب,مضاف إليه مجرور,مفعول به منصوب,اسم مجرور,أ
2,يجلس الطالب فوق المقعد. ما نوع الظرف (فوق)؟,الظرف,8,متوسط,اسم مجرور,ظرف زمان,ظرف مكان,فاعل,ج
3,ذهبت إلى السوق أمس. ما نوع الظرف (أمس)؟,الظرف,7,متوسط,ظرف مكان,مضاف إليه,ظرف زمان,مفعول به,ج
4,انتظرني عند محطة القطار. ما إعراب كلمة (عند)؟,الظرف,8,متوسط,مفعول به منصوب,ظرف زمان,اسم مجرور,ظرف مكان,د
5,وقفت أمام المدرسة طويلاً. ما هو الظرف في الجملة؟,الظرف,8,متوسط,طويلاً,المدرسة,وقفت,أمام,د
6,مشيت صباحًا إلى المدرسة. ما إعراب كلمة (صباحًا)؟,الظرف,8,صعب,مضاف إليه مجرور,ظرف زمان منصوب,مفعول به منصوب,خبر مرفوع,ب
7,عاد المسافر مساءً. ما نوع الظرف (مساءً)؟,الظرف,8,سهل,مفعول به منصوب,ظرف زمان,ظرف مكان,اسم مجرور,ب
8,وصلنا إلى البيت قريبًا. ما نوع الظرف (قريبًا)؟,الظرف,8,متوسط,اسم مجرور,ظرف زمان,ظرف مكان,مضاف إليه,ب
9,كان النهر أمام القرية. ما نوع الظرف (أمام)؟,الظرف,7,صعب,ظرف زمان,اسم مجرور,مفعول به,ظرف مكان,د
10,سافرنا خارج المدينة في الليل. ما الظرفان في الجملة؟,الظرف,7,سهل,ظرف مكان وزمان,ظرفا زمان فقط,ظرفا مكان فقط,خارج وظرف زمان,أ
11,"ما إعراب كلمة (فوق) في الجملة: ""وضعتُ الكتاب فوق الطاولة""؟",الظرف,8,سهل,حال منصوب,ظرف زمان منصوب,مفعول به,ظرف مكان منصوب,د
12,"في الجملة: ""كان الدرب وعرًا مساءً""، ما إعراب كلمة (مساءً)؟",الظرف,8,صعب,مفعول به منصوب,ظرف زمان منصوب,حال منصوب,خبر كان منصوب,ب
13,"حدد المفعول فيه في الجملة: ""استيقظت باكرًا وجلست تحت الشجرة"".",الظرف,7,سهل,الشجرة,تحت,استيقظت,باكرًا,د
14,أي من الكلمات التالية تعد ظرفًا مكانيًا؟,الظرف,7,متوسط,الظهر,مساءً,أمام,يومًا,ج
15,"في الجملة: ""وصلتُ المنزل ليلاً""، ما نوع الظرف (ليلاً)؟",الظرف,7,سهل,ظرف زمان,ظرف مكان,حال منصوب,مفعول به,أ
16,الجملة التي تحتوي على ظرف زمان هي:,الظرف,7,صعب,استيقظتُ فجراً,جلستُ قرب النافذة,وجدته تحت الطاولة,سرتُ في الطريق,أ
17,"ما إعراب كلمة (تحت) في الجملة: ""جلست تحت الشجرة""؟",الظرف,10,متوسط,اسم مجرور,ظرف مكان منصوب,مفعول به منصوب,ظرف زمان منصوب,ب
18,اختر الجملة التي تحتوي على ظرف مكان:,الظرف,7,صعب,ذهبتُ صباحًا إلى المدرسة,وصلتُ مبكرًا,وقفتُ بجانب الباب,خرجتُ مسرعًا,ج
19,في أي جملة استخدم (قرب) كظرف؟,الظرف,8,صعب,للحق قرب الباطل دائمًا,وقفتُ قُربَ النافذة,رأيت قرب الحديقة أزهارًا,هو قرب النافذة,ب
20,"في الجملة: ""جلس الطفل أمام أمه""، ما علامة إعراب كلمة (أمام)؟",الظرف,7,سهل,مضمومة,مكسورة,مفتوحة,مجرورة,ج
21,تقوم المدرسة برحلةٍ يوم الجمعة. الظرف في الجملة هو كلمة:,الظرف,7,سهل,الجمعة,يوم,تقوم,المدرسة,ب
22,يقف الطلاب أمام المدرسة صباحًا. ما نوع ظرف (أمام) و(صباحًا)؟,الظرف,8,صعب,ظرف زمان وظرف مكان,ظرف مكان وظرف زمان,ظرفا زمان,ظرفا مكان,ب
23,ذهب الطلاب إلى المكتبة ظهرًا. إعراب كلمة (ظهرًا):,الظرف,8,سهل,ظرف زمان منصوب,مفعول به,حرف جر,ظرف مكان منصوب,أ
24,أي مما يلي يحتوي على ظرف؟,الظرف,7,متوسط,صنعتُ شيئًا مميزًا,التفتُ إلى صديقي,جلستُ بجوار النافذة,أعطيتُ الكتاب لصديقي,ج
25,صمتُ أثناء الدرس. أي كلمة تعتبر ظرفًا؟,الظرف,7,سهل,الدرس,لا توجد ظروفة,أثناء,صمتُ,ج
26,اجلسْ فوق المقعد ثم انظر تحت الطاولة. الظرفان في الجملة هما:,الظرف,8,متوسط,أمام وتحت,تحت وفوق,فوق وتحت,فوق وأمام,ج
27,أي جملة تحتوي على ظرف زمان صحيح؟,الظرف,7,صعب,انطلقت السفينة في البحرِ.,رأيتُ الطائر فوقَ الشجرةِ.,انتظرتك أمسِ.,جلستُ بعيدًا عن الطريق.,ج
28,أُقيم الاحتفال أنّى ذهب الزعيم. الظرف (أنّى) يعني:,الظرف,9,صعب,هدف الحدوث,زمان الحدوث,حالة الحدوث,مكان الحدوث,د
29,ما إعراب كلمة (مكانًا) في الجملة: ثبّت اللوحة مكانًا مناسبًا.,الظرف,9,سهل,مفعول به ثانٍ,ظرف زمان منصوب,حال منصوب,ظرف مكان منصوب,د
