SerialID,Source,orgSerial,Grade,GradeName,Lesson,DifficultyLevel,DifficultyName,Question,A,B,C,D,Explanation,GPT-4o-mini,GPT-4o-mini-Correct,GPT4o-mini-Lesson
6010,الصفوف الدراسية,7501,6,مرحلة ابتدائية,الأسماء الخمسة,1,سهل,حضر ....... الحفل. أكمل باسمٍ من الأسماء الخمسة:,أخوكَ,أخاكَ,أخيكَ,أخي,إعراب كلمة (أخوكَ): فاعل مرفوع، وعلامة الرفع الواو؛ لأنَّها من الأسماء الخمسة.,تطبيقي,,
6011,الصفوف الدراسية,7505,6,مرحلة ابتدائية,الأسماء الخمسة,1,سهل,"""وآتِ ذا القربى حقَّه "". كلمة (القربى) وردت في الآية:",مجرورةً,مرفوعةً,منصوبةً,مجزومةً,إعراب كلمة (القربى): مضاف إليه مجرور، وعلامة الجرِّ الكسرة المقدَّرة.,قواعد نظرية,,
6012,الصفوف الدراسية,7498,6,مرحلة ابتدائية,الأسماء الخمسة,1,سهل,لا يُرفَع  بالألف فيما يلي إلا .......,المثنَّى,الأسماء الخمسة,جمع المذكَّر السالم,جمع المؤنَّث السالم,المثنَّى يُرفَع بالألف، ويُنصَب ويُجَرُّ بالياء.,قواعد نظرية,,
6013,الصفوف الدراسية,7491,6,مرحلة ابتدائية,الأسماء الخمسة,1,سهل,كلُّ ....... عِلمٍ مُقَدَّرٌ من الدولة.,ذي,ذو,ذا,صاحبُ (بضمِّ الباء),ما بعد (كل) يُعرَب مضافًا إليه، والأسماء الخمسة تُجَرُّ بالياء.,تطبيقي,,
6014,الصفوف الدراسية,7494,6,مرحلة ابتدائية,الأسماء الخمسة,1,سهل,أعطِ الناس حقوقهم قبل أن تعطي الحقَّ لـ .......,أبيكَ,أباكَ,أبوكَ,أخاكَ,الأسماء الخمسة تُجَرُّ بالياء.,تطبيقي,,
6015,الصفوف الدراسية,7552,6,مرحلة ابتدائية,الأسماء الخمسة,2,متوسط الصعوبة,إنَّ ....... الخلق محبوب.,ذا,ذو,ذي,ذَ,إعراب (ذا): اسم (إنَّ) منصوب، وعلامة النصب الألف؛ لأنه من الأسماء الخمسة.,تطبيقي,,
6016,الصفوف الدراسية,7550,6,مرحلة ابتدائية,الأسماء الخمسة,2,متوسط الصعوبة,علامة نصب الأسماء الخمسة هي:,الألف,الواو,الفتحة,الياء,الأسماء الخمسة تُرفَع بالواو، وتُنصَب بالألف، وتُجَرُّ بالياء.,قواعد نظرية,,
6017,الصفوف الدراسية,7578,6,مرحلة ابتدائية,الأسماء الخمسة,2,متوسط الصعوبة,يحترم الزوجة ......,حموها,حماها,حميها,حَمَاهَا,إعراب (حموها): فاعل مؤخَّر مرفوع، وعلامة الرَّفع الواو؛ لأنَّها من الأسماء الخمسة، والهاء مضاف إليه.,تطبيقي,,
6018,الصفوف الدراسية,7556,6,مرحلة ابتدائية,الأسماء الخمسة,2,متوسط الصعوبة,الأسماء الخمسة .......,تُنصَب بالألف,تُرفَع بالألف,تُنصَب بالياء,تُجَرُّ بالكسرة,الأسماء الخمسة تُرفَع بالواو، وتُنصَب بالألف، وتُجَرُّ بالياء.,قواعد نظرية,,
6019,الصفوف الدراسية,7568,6,مرحلة ابتدائية,الأسماء الخمسة,2,متوسط الصعوبة,حدِّد المختلف فيما يلي:,احترمتُ الشَّباب (ذوي) الإرادة [من الأسماء الخمسة أم لا؟ ],(ذو) الخُلُق محبوب [من الأسماء الخمسة أم لا؟ ],إنَّ (ذا) الخُلُق محبوب [من الأسماء الخمسة أم لا؟ ],أساعد كلَّ (ذي) حاجة [من الأسماء الخمسة أم لا؟ ],(ذو – ذا – ذي) من الأسماء الخمسة – أمَّا (ذوي) فليست من الأسماء الخمسة (الأسماء الخمسة لو ثُنِّيت أو جُمِعت خرجت من الأسماء الخمسة).,تطبيقي,,
6020,الصفوف الدراسية,7551,6,مرحلة ابتدائية,الأسماء الخمسة,2,متوسط الصعوبة,علامة جرِّ الأسماء الخمسة هي نفس علامة جرِّ:,جمع المذكَّر السالم,جمع المؤنَّث السالم,جمع التكسير,المفرد,كلٌّ من الأسماء الخمسة والمثنَّى وجمع المذكَّر السالم يُجَرُّ بنفس العلامة (وهي الياء).,قواعد نظرية,,
6021,الصفوف الدراسية,7549,6,مرحلة ابتدائية,الأسماء الخمسة,2,متوسط الصعوبة,اسم واحد مما يلي ليس من الأسماء الخمسة:,بنو,ذو,أبو,أخو,الأسماء الخمسة هي: أب، وأخ، وحم، وفو، وذو .. مضافةً إلى اسمٍ ظاهرٍ أو ضميرٍ، ما عدا ياء المتكلِّم.,قواعد نظرية,,
6022,الصفوف الدراسية,7548,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,استمع إلى نصح والدك. باستبدال اسم من الأسماء الخمسة بكلمة (والدك) نقول:,استمع إلى نصح أبيك,استمع إلى نصح أبوك,استمع إلى نصح أباك,استمع إلى نصح أبي,الصَّواب: استمِع إلى نصح أبيك (مضاف إليه مجرور بالياء).,تطبيقي,,
6023,الصفوف الدراسية,7523,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,حدِّد المختلف فيما يلي:,والدك [من الأسماء الخمسة أم لا؟ ],أبوك [من الأسماء الخمسة أم لا؟ ],أخاك [من الأسماء الخمسة أم لا؟ ],أبيك [من الأسماء الخمسة أم لا؟ ],كلُّ ما ورد من الأسماء الخمسة - ما عدا (والدك).,قواعد نظرية,,
6024,الصفوف الدراسية,7513,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,الأخَوَان مجتهدان. كلمة (الأخَوَان): .......,مرفوعة بالألف,مرفوعة بالواو,مرفوعة بالضمة الظاهرة,مرفوعة بالضمة المقدرة,لا تكون الأسماء الخمسة إلا مفردة.,تطبيقي,,
6025,الصفوف الدراسية,7537,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,صاحبت في رحلتي .......,أخاك,أخيك,أخوك,أخواك,إعراب (أخاك): مفعول به منصوب، وعلامة النَّصب الألف؛ لأنَّها من الأسماء الخمسة (والكاف مضاف إليه).,تطبيقي,,
6026,الصفوف الدراسية,7512,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,صِل أصدقاء .......,أخيكَ,أخوكَ,أخاكَ,أباكَ,إعراب كلمة (أخيكَ): مضاف إليه مجرور، وعلامة الجر الياء؛ لأنها من الأسماء الخمسة.,تطبيقي,,
6027,الصفوف الدراسية,7520,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,....... أبوكَ حاضرًا.,كان,إنَّ,ليت,لعلَّ,(كان) وأخواتها ترفع الاسم، وتنصب الخبر، بينما (إنَّ) وأخواتها تنصب الاسم، وترفع الخبر.,تطبيقي,,
6028,الصفوف الدراسية,7510,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,أخي مجتهد. علامة رفع كلمة (أخي) في الجملة هي:,الضمة,الفتحة,الياء,الألف,إذا أُضيفت الأسماء الخمسة إلى ياء المتكلِّم أُعرِبت بعلامات إعراب الاسم المفرد (بعلاماتٍ مقدَّرةٍ).,قواعد نظرية,,
6029,الصفوف الدراسية,7514,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,كلُّ الجمل التالية تتضمَّن اسمًا من الأسماء الخمسة، ما عدا:,اغسل فمكَ بعد تناول الطعام,اغسل فاكَ بعد تناول الطعام,لا تتكلَّم والطعام في فيكَ,لا تتكلَّم وفوكَ ممتلئ بالطعام,كلمة (فم) ليست من الأسماء الخمسة، وتُعرَب إعراب المفرد.,تطبيقي,,
6030,الصفوف الدراسية,7528,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,حدِّد المختلف فيما يلي:,ذات [من الأسماء الخمسة أم لا؟ ],ذو [من الأسماء الخمسة أم لا؟ ],ذا [من الأسماء الخمسة أم لا؟ ],ذي [من الأسماء الخمسة أم لا؟ ],كلُّ ما ورد من الأسماء الخمسة - ما عدا (ذات).,قواعد نظرية,,
6031,الصفوف الدراسية,7535,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,حدِّد المختلف فيما يلي:,أحبِبْ (حماتك) [من الأسماء الخمسة أم لا؟ ],أحبِبْ (حماك) [من الأسماء الخمسة أم لا؟ ],إنّ (حماك) رجل عظيم [من الأسماء الخمسة أم لا؟ ],يجب أن تعُدَّ (حماك) كوالدك [من الأسماء الخمسة أم لا؟ ],(حماك) من الأسماء الخمسة (وقد وقع في جميع الأمثلة منصوبًا بالألف) – أمَّا (حماتك) فليست من الأسماء الخمسة (وهي منصوبةٌ في الجملة بالفتحة).,تطبيقي,,
6032,الصفوف الدراسية,7526,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,حدِّد المختلف فيما يلي:,أبي [من الأسماء الخمسة أم لا؟ ],أخوك [من الأسماء الخمسة أم لا؟ ],حميك [من الأسماء الخمسة أم لا؟ ],أباه [من الأسماء الخمسة أم لا؟ ],كلُّ ما ورد من الأسماء الخمسة - ما عدا (أبي)؛ حيث يمكن إضافة الأسماء الخمسة إلى أيِّ ضمير جرٍّ، ما عدا (ياء المتكلِّم).,قواعد نظرية,,
6033,الصفوف الدراسية,7546,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,جملة واحدة مما يلي صحيحة:,صار حموك ذا خلق,إن حميك ذو خلق,ليت حموك ذا خلق,إن حموك ذا خلق,(صار) ترفع الاسم وتنصب الخبر – و (إنَّ – ليت) تنصبان الاسم وترفعان الخبر.,تطبيقي,,
6034,الصفوف الدراسية,7527,6,مرحلة ابتدائية,الأسماء الخمسة,3,صعب,حدِّد المختلف فيما يلي:,أخًا (بالتَّنوين) [من الأسماء الخمسة أم لا؟ ],أباه [من الأسماء الخمسة أم لا؟ ],أخو محمد [من الأسماء الخمسة أم لا؟ ],حميك [من الأسماء الخمسة أم لا؟ ],كلُّ ما ورد من الأسماء الخمسة - ما عدا (أخًا) المنوَّنة؛ حيث إنَّ الأسماء الخمسة لا بدَّ أن تُضَاف؛ فلو نُوِّنت خرجت من وصف (الأسماء الخمسة).,تطبيقي,,
